#name	chrom	strand	txStart	txEnd	exonEnds	exonStarts
FABP7	chr6	+	123100620	123105219	123101012,123101608,123102339,	123101436,123102238,123104862,
SMPDL3A	chr6	+	123110315	123130865	123110603,123117035,123118113,123122551,123124978,123126234,123127502,	123116822,123117969,123122455,123124809,123126054,123127378,123130236,
HDDC2	chr6	-	125597032	125623121	125597389,125598386,125614055,125619962,125621805,	125598248,125613987,125619860,125621684,125622995,
HEY2	chr6	+	126070726	126082415	126071005,126073025,126073236,126075692,	126072947,126073153,126075611,126080263,
HINT3	chr6	+	126277927	126301390	126278324,126288150,126293474,126296119,	126288033,126293405,126295993,126298790,
CENPW	chr6	+	126661320	126670021	126661545,126667464,	126667351,126669612,
RSPO3	chr6	+	127439749	127518441	127440434,127469984,127471717,127476583,	127469793,127471571,127476386,127516968,
RNF146	chr6	+	127587883	127609699	127588240,127601485,127601749,127607322,	127601376,127601661,127607195,127607761,
KIAA0408	chr6	-	127764392	127780536	127765427,127768885,127771046,127771497,127775246,	127767553,127770967,127771135,127774992,127780320,
C6orf58	chr6	+	127898319	127912962	127898631,127899917,127901594,127902427,127911470,	127899831,127901410,127902327,127911232,127912688,
TMEM200A	chr6	+	130686879	130764208	130687669,130706381,	130706318,130761552,
SMLR1	chr6	+	131148546	131158275	131148791,	131156010,
ARG1	chr6	+	131894284	131905472	131894479,131897875,131900425,131902518,131903855,131904304,131904631,	131897803,131900251,131902359,131903761,131904200,131904495,131904882,
MED23	chr6	-	131907873	131949369	131908986,131910736,131911582,131912667,131913600,131914311,131915475,131917303,131917828,131919607,131919901,131921302,131923521,131924344,131925460,131926625,131927764,131929211,131931386,131937142,131939659,131941036,131941869,131943119,131944602,131946129,131948623,131948812,	131910605,131911462,131912453,131913528,131914146,131915239,131917087,131917658,131919427,131919696,131921178,131923358,131924170,131925318,131926380,131927619,131929068,131931186,131937047,131939547,131940967,131941768,131943021,131944491,131946005,131948536,131948781,131949151,
ENPP1	chr6	+	132129156	132216295	132129415,132168988,132171246,132172407,132173375,132176163,132179887,132181646,132182844,132185711,132186078,132189266,132190629,132193241,132194190,132195477,132197003,132198301,132199733,132201174,132203614,132204914,132206203,132207864,	132168916,132171130,132172282,132173315,132176066,132179808,132181527,132182735,132185646,132186006,132189158,132190498,132193210,132194063,132195408,132196916,132198132,132199682,132201020,132203485,132204834,132206071,132207702,132211481,
CTGF	chr6	-	132269316	132272513	132270700,132271300,132271683,132272132,	132271089,132271432,132271910,132272247,
VNN1	chr6	-	133002729	133035188	133004461,133005644,133013723,133014454,133015321,133032978,	133005474,133013362,133014163,133015129,133032848,133034965,
VNN3	chr6	-	133043928	133055876	133044193,133045046,133046118,133048005,133048151,133050072,133055522,	133044873,133045745,133047861,133048008,133049880,133055392,133055619,
VNN2	chr6	-	133065009	133079147	133065630,133071004,133072657,133073888,133077174,133078685,	133070834,133072284,133073600,133076982,133078555,133078810,
SLC18B1	chr6	-	133090509	133119692	133091475,133092078,133092268,133093345,133094227,133095452,133097568,133100543,133105228,133108720,133110976,133111411,133118260,	133092029,133092175,133093271,133094132,133095361,133097467,133100407,133105072,133108573,133110903,133111316,133118121,133119553,
RPS12	chr6	+	133135580	133138703	133135752,133135921,133136227,133137702,133138200,	133135871,133136111,133137600,133138099,133138619,
TCF21	chr6	+	134210276	134216691	134210985,	134212851,
TBPL1	chr6	+	134273308	134308637	134273868,134301398,134303788,134304018,134305617,134305809,	134301220,134303706,134303955,134305514,134305715,134308099,
SGK1	chr6	-	134490390	134496034	134491573,134492053,134492316,134492870,134493454,134493912,134494292,134494495,134494704,134495218,134495724,	134491964,134492161,134492775,134493331,134493800,134494161,134494412,134494600,134495143,134495649,134495870,
HBS1L	chr6	-	135281516	135376036	135286428,135287611,135290476,135299925,135300406,135303700,135306547,135307321,135307948,135308929,135315013,135318080,135318794,135323980,135360905,135363264,135371785,	135287467,135290376,135299817,135300316,135303596,135306479,135307204,135307874,135308783,135314896,135317915,135318535,135323872,135360711,135363139,135371720,135375787,
MTFR2	chr6	-	136552162	136571462	136552526,136554637,136560958,136562814,136564111,136566007,136570291,	136554463,136560604,136562582,136563999,136565903,136570175,136571402,
BCLAF1	chr6	-	136578001	136610989	136582253,136582615,136588313,136589477,136590750,136593217,136594325,136596839,136597646,136599914,136601014,136603825,	136582403,136588167,136589300,136590575,136593133,136594220,136596670,136596981,136599003,136600901,136603722,136610851,
SLC35D3	chr6	+	137243402	137246777	137244005,	137245023,
IFNGR1	chr6	-	137518621	137540586	137519776,137522145,137524822,137525641,137527445,137528214,	137522018,137524636,137525469,137527273,137528100,137540380,
TNFAIP3	chr6	+	138188325	138204448	138188679,138192659,138196172,138196972,138197303,138198393,138200488,138201389,	138192350,138195982,138196825,138197133,138198213,138199569,138201208,138202172,
HEBP2	chr6	+	138725356	138743334	138725734,138726417,138727288,	138726282,138727108,138734017,
CCDC28A	chr6	+	139094906	139114449	139095039,139097415,139101122,139106518,139109525,	139097216,139100959,139106364,139109503,139113886,
REPS1	chr6	-	139226007	139309398	139226269,139228737,139229953,139232508,139234087,139235898,139237113,139238761,139241453,139242261,139247618,139251235,139262626,139264713,139265152,139265759,139266509,139266834,139269050,	139228632,139229805,139232413,139233902,139235834,139236995,139238692,139241352,139242174,139247538,139251114,139262472,139264650,139264990,139265635,139266356,139266638,139268927,139308667,
ABRACL	chr6	+	139349819	139364439	139350012,139355358,	139355292,139363856,
CITED2	chr6	-	139692944	139695757	139695089,	139695550,
NMBR	chr6	-	142396745	142409936	142397186,142400040,	142399692,142409374,
GJE1	chr6	+	142454227	142456288	142454334,142455181,	142454987,142455676,
ADAT2	chr6	-	143748126	143771810	143749643,143749821,143753748,143755118,143759831,	143749749,143753642,143754968,143759727,143771700,
AL031320.1	chr6	+	143759575	143764295	143759586,143763308,	143763306,143764263,
FUCA2	chr6	-	143815948	143832827	143816984,143818634,143823259,143823702,143825389,143828561,	143818526,143823069,143823492,143825050,143828374,143832548,
RP3-468K18.5	chr6	+	144128229	144165754	144128270,144145060,144152549,144157031,	144144811,144152456,144156788,144165623,
ZC2HC1B	chr6	+	144185573	144259493	144185704,144205502,144207288,144207958,144219828,144224289,144258870,	144205441,144207169,144207820,144219689,144224181,144258786,144259279,
STX11	chr6	+	144471663	144509507	144471840,	144507760,
FBXO30	chr6	-	146114638	146135889	146121445,146127557,	146125508,146135739,
RAB32	chr6	+	146864829	146876101	146865257,146870877,	146870600,146875592,
ZC3H12D	chr6	-	149767931	149806197	149772615,149773858,149778036,149783106,149795749,	149773752,149777802,149782967,149795375,149805949,
PPIL4	chr6	-	149825869	149867174	149826840,149833438,149838586,149842307,149846345,149847912,149854710,149855910,149856874,149862195,149862567,149862722,	149833291,149838490,149842196,149846279,149847788,149854594,149855814,149856732,149862078,149862503,149862655,149867072,
GINM1	chr6	+	149887430	149912884	149887670,149893480,149893739,149900109,149901126,149901859,149903739,	149893421,149893643,149899958,149900970,149901729,149903576,149911863,
LATS1	chr6	-	149979289	150039392	149983374,149997502,149997873,150001593,150005728,150016357,150023402,	149997396,149997691,150001011,150004215,150016210,150022915,150038985,
NUP43	chr6	-	150045451	150067708	150048334,150052871,150057758,150059914,150063706,150064851,150067198,	150052749,150057607,150059779,150063526,150064774,150067076,150067512,
LRP11	chr6	-	150139934	150185162	150141839,150147495,150157433,150158599,150164260,150174296,	150147400,150157221,150158474,150164119,150174139,150184544,
RAET1E	chr6	-	150209601	150212170	150209803,150210759,150211281,	150210484,150211021,150211953,
RAET1G	chr6	-	150238014	150244214	150238210,150239520,150240460,150240952,	150239310,150240179,150240689,150244062,
ULBP2	chr6	+	150263136	150270371	150263293,150266708,150267789,150268587,	150266445,150267508,150268456,150269859,
ULBP1	chr6	+	150285143	150294846	150285270,150290006,150290496,150291283,	150289743,150290221,150291152,150292505,
ULBP3	chr6	-	150384286	150390231	150384487,150385849,150386809,150387298,	150385721,150386534,150387035,150390115,
IYD	chr6	+	150690028	150727105	150690345,150710679,150713640,150715391,	150710488,150713481,150715235,150719191,
ZBTB2	chr6	-	151685252	151712683	151688027,151694784,	151694600,151712555,
RMND1	chr6	-	151725989	151773259	151726402,151726971,151738534,151742456,151743740,151744766,151748717,151751312,151754365,151757689,151766960,	151726855,151738414,151742380,151743676,151744660,151748617,151751273,151754290,151757581,151766443,151773151,
MYCT1	chr6	+	153019030	153045702	153019233,	153042877,
VIP	chr6	+	153071933	153080900	153072094,153073419,153075423,153076508,153077400,153078319,	153073303,153075301,153076404,153077269,153078231,153080045,
FBXO5	chr6	-	153291664	153304153	153292549,153293589,153294271,153296756,	153293407,153294181,153296042,153303992,
MTRF1L	chr6	-	153308497	153323820	153311230,153312456,153314109,153315811,153316454,153319764,	153312320,153313992,153315648,153316271,153319685,153323562,
CLDN20	chr6	+	155585147	155597682	155585422,	155596750,
NOX3	chr6	-	155716504	155777037	155716708,155718096,155728388,155732494,155743990,155750181,155752069,155757681,155761271,155764552,155774622,155776055,155776263,	155717943,155728264,155732348,155743828,155749928,155751977,155757552,155761090,155764407,155774538,155775945,155776168,155776887,
TMEM242	chr6	-	157710418	157744633	157714031,157739951,157743837,	157739814,157743737,157744444,
SERAC1	chr6	-	158530547	158589302	158532534,158534624,158536003,158537314,158538853,158540202,158541607,158549302,158551518,158564216,158565452,158567945,158569986,158571621,158576383,158579396,	158534481,158535821,158537217,158538759,158540061,158541457,158549140,158551405,158564088,158565331,158567814,158569897,158571485,158576347,158579305,158589172,
AL591025.1	chr6	+	159047471	159049322	159047478,159047738,	159047695,159049309,
DYNLT1	chr6	-	159057506	159065771	159057929,159058237,159058926,159062392,	159058160,159058803,159062351,159065714,
EZR	chr6	-	159186773	159239259	159188110,159188544,159190450,159190976,159191926,159192439,159197536,159204698,159205759,159206615,159208235,159210403,	159188293,159190358,159190816,159191796,159192276,159197440,159204552,159205676,159206341,159208140,159210320,159239114,
RSPH3	chr6	-	159398268	159421198	159398880,159399378,159401968,159403720,159404839,159407453,159414958,	159399292,159401806,159403517,159404694,159407312,159414871,159420467,
TAGAP	chr6	-	159455500	159466184	159458156,159459260,159460341,159461864,159462547,159463276,159464687,159465063,159465236,	159459146,159460146,159461755,159462386,159463110,159464621,159465010,159465152,159465911,
SOD2	chr6	-	160090089	160114360	160103670,160106065,160109274,160113895,	160105886,160109158,160113693,160114177,
ACAT2	chr6	+	160181360	160200087	160183174,160184085,160188218,160189660,160196345,160197304,160198488,160199312,	160183951,160188037,160189543,160196202,160197182,160198334,160199202,160199691,
TCP1	chr6	-	160199530	160210781	160200293,160200822,160201119,160201598,160202142,160205099,160205879,160206528,160207029,160208903,160209175,	160200659,160200927,160201475,160201967,160204973,160205698,160206418,160206932,160208775,160209090,160210437,
MRPL18	chr6	+	160211498	160219468	160211671,160212158,160218550,	160211972,160218319,160219084,
PNLDC1	chr6	+	160221306	160241735	160221415,160221861,160222218,160224342,160225120,160225669,160227115,160229848,160230190,160231127,160232818,160234688,160237065,160237628,160238183,160239686,160240153,160240384,	160221804,160222145,160224303,160224997,160225581,160227015,160229772,160230047,160231058,160232733,160234633,160237001,160237575,160238141,160239587,160239978,160240286,160241486,
SLC22A2	chr6	-	160637794	160680048	160638530,160645836,160662618,160663434,160664818,160666577,160668330,160670416,160671734,160677749,	160645737,160662506,160663326,160664604,160666471,160668216,160670248,160671580,160677646,160679376,
PLG	chr6	+	161123274	161174338	161123385,161127574,161128838,161132223,161134157,161135946,161137795,161139488,161139870,161143599,161152264,161152925,161155120,161158039,161159644,161160240,161162449,161173292,	161127439,161128732,161132109,161134018,161135826,161137677,161139326,161139725,161143440,161152083,161152777,161155027,161157919,161159570,161160100,161162343,161173147,161173932,
C6orf118	chr6	-	165693165	165723096	165693599,165695182,165703556,165706960,165711590,165712991,165713975,165715785,	165695129,165703375,165706902,165711466,165712932,165713853,165715058,165723051,
T	chr6	-	166571144	166582107	166572076,166574454,166576108,166578154,166578349,166579328,166580344,166581256,	166574325,166575935,166578093,166578288,166579194,166580080,166580874,166581816,
SFT2D1	chr6	-	166733216	166756079	166733744,166736374,166738083,166739655,166741845,166743077,166743735,	166736345,166738025,166739620,166741764,166742995,166743649,166755907,
MPC1	chr6	-	166778407	166796486	166778941,166779594,166780379,166783709,	166779462,166780283,166783706,166796294,
RP11-514O12.4	chr6	-	167271582	167369612	167271747,167347624,167352496,167356577,167360227,167362113,167366036,	167347579,167352383,167356507,167360170,167362058,167365976,167369585,
RNASET2	chr6	-	167342992	167370190	167343279,167344606,167347624,167352496,167356577,167360227,167362113,167366036,	167344532,167347579,167352383,167356507,167360170,167362058,167365976,167369585,
FGFR1OP	chr6	+	167412670	167466201	167413002,167413601,167416735,167417299,167417889,167424381,167427055,167436123,167438382,167440103,167446130,167447459,	167413548,167416681,167417211,167417752,167424301,167426996,167435897,167438270,167440035,167446091,167447363,167453392,
CCR6	chr6	+	167525295	167552629	167525502,167549631,	167549526,167549728,
TCP10L2	chr6	+	167584081	167596396	167584210,167585776,167587456,167590622,167592030,167592610,167594221,	167585632,167587241,167590485,167591872,167592499,167594121,167595213,
UNC93A	chr6	+	167704803	167729507	167705064,167708186,167709749,167711558,167717621,167719538,167721398,	167708005,167709520,167711433,167717407,167719403,167721267,167728675,
TTLL2	chr6	+	167738574	167755375	167738708,167752291,	167752135,167753593,
TCP10	chr6	-	167785665	167797954	167786848,167787939,167789565,167790192,167791580,167794824,167796443,	167787839,167789454,167790034,167791443,167794609,167796299,167797869,
FRMD1	chr6	-	168456425	168479839	168458019,168459868,168461737,168462661,168463639,168464436,168465737,168467511,168468126,168476015,	168459804,168461441,168462487,168463574,168464281,168465551,168467435,168468047,168475925,168479562,
DACT2	chr6	-	168707584	168720402	168709778,168711126,168711964,	168710848,168711832,168720068,
THBS2	chr6	-	169615875	169654139	169617924,169620432,169621622,169622563,169623570,169625474,169626393,169628376,169629774,169632293,169632911,169633112,169635002,169637441,169637890,169639790,169640687,169642053,169646376,169649068,169650901,169653991,	169620293,169621525,169622292,169623343,169625240,169626275,169628217,169629667,169632075,169632759,169632985,169634829,169637265,169637720,169639694,169640547,169641857,169646292,169648512,169650828,169653819,169654085,
PHF10	chr6	-	170104001	170124151	170104184,170105417,170105820,170110487,170112635,170114938,170115953,170116184,170118002,170119014,170121207,	170105229,170105712,170110332,170112482,170114829,170115804,170116051,170117919,170118884,170121101,170123941,
TCTE3	chr6	-	170140210	170151655	170140391,170143334,170144370,	170143176,170144164,170151435,
ERMARD	chr6	+	170151721	170181680	170151759,170154128,170155518,170156535,170156904,170159161,170160070,170160852,170162627,170166763,170168267,170169809,170173498,170175442,170176161,170176769,170179391,	170153960,170155379,170156434,170156815,170159064,170159934,170160738,170162525,170166734,170168199,170169636,170173415,170175366,170176036,170176551,170179278,170181426,
DLL1	chr6	-	170591294	170599561	170591967,170592193,170593117,170594223,170594511,170594787,170595386,170597584,170597877,170598896,	170592076,170592319,170594007,170594342,170594657,170595326,170597327,170597817,170598600,170599174,
PSMB1	chr6	-	170844205	170862429	170844493,170846428,170852818,170855272,170858201,	170846322,170852689,170855191,170858094,170862218,
TBP	chr6	+	170863421	170881957	170863551,170866171,170871321,170873720,170876097,170878867,170880592,	170865970,170870879,170873633,170876006,170878700,170880498,170881274,
PDCD2	chr6	-	170884383	170893748	170886805,170888058,170889193,170892276,170892835,	170887945,170889090,170892145,170892593,170893387,
WISP1	chr8	+	134203282	134242587	134203456,134225386,134233084,134237826,	134225107,134232824,134237633,134239654,
DOCK5	chr8	+	25042380	25273232	25042466,25101273,25126401,25132957,25136181,25149688,25154164,25156617,25158173,25159970,25161843,25166441,25168048,25174647,25177192,25178568,25181467,25183063,25189864,25190208,25191712,25193889,25198504,25199325,25200023,25203127,25209342,25216577,25220657,25222220,25224486,25225766,25226241,25227157,25230234,25231174,25232170,25234940,25237910,25240294,25246748,25247803,25249496,25250398,25253235,25257510,25258582,25261240,25265670,25266456,25267718,	25101190,25126361,25132902,25136085,25149540,25154029,25156460,25158092,25159841,25161771,25166299,25167923,25174523,25177094,25178496,25181364,25182880,25189767,25190119,25191612,25193755,25198393,25199255,25199917,25202991,25209247,25216479,25220563,25222142,25224386,25225708,25226087,25227072,25230075,25231134,25232080,25234821,25237821,25240190,25246607,25247722,25249412,25250312,25253059,25257427,25258445,25261074,25265499,25266318,25267615,25268710,
SLC26A7	chr8	+	92221728	92407984	92221770,92231233,92262072,92301474,92307931,92330608,92346675,92350460,92352779,92355694,92364115,92365224,92374687,92375766,92378945,92382061,92401666,92406079,92406267,	92231118,92261767,92301364,92307759,92330444,92346523,92350378,92352632,92355581,92364038,92365129,92374581,92375700,92378808,92382013,92401566,92406025,92406164,92407290,
VPS13B	chr8	+	100025494	100889808	100025575,100026163,100050794,100108660,100115348,100123507,100128102,100133673,100146955,100147365,100147961,100148980,100155393,100160238,100168971,100182391,100205285,100286560,100287482,100396545,100403932,100443892,100454863,100479862,100494030,100514086,100515178,100520139,100523740,100533238,100568881,100588012,100589861,100654726,100673719,100712160,100729601,100732780,100733275,100779198,100789184,100791259,100796704,100821758,100830031,100830762,100831116,100831810,100832350,100833710,100836206,100844880,100847552,100847966,100861122,100866484,100871708,100874174,100880693,100883115,100883925,	100025988,100050651,100108540,100115181,100123326,100127928,100133405,100146860,100147243,100147824,100148893,100155202,100160069,100168777,100182267,100205104,100286426,100287309,100396436,100403785,100443765,100454629,100479642,100493827,100513915,100515064,100519998,100523332,100533127,100568678,100587886,100589718,100654039,100673582,100711753,100729399,100732573,100733091,100779002,100789003,100790910,100796543,100821603,100829768,100830679,100830941,100831640,100832149,100833522,100836060,100844597,100847425,100847767,100861004,100865679,100871532,100874004,100880517,100883013,100883676,100887646,
RSPO2	chr8	-	108911545	109095876	108913418,108970496,108973045,109001472,109095035,	108970308,108972902,109001284,109094773,109095425,
CSMD1	chr8	-	2795621	4852494	2796266,2800126,2806908,2807865,2808797,2811790,2813290,2815329,2818736,2820161,2820917,2823476,2824268,2830821,2832146,2836322,2855706,2857653,2876172,2887035,2910169,2944807,2949184,2954559,2964163,2965320,2966270,2967857,2976109,3000196,3009035,3015488,3019799,3038736,3045487,3046533,3047637,3057331,3059247,3063142,3072213,3076964,3081389,3087753,3141868,3165343,3166025,3200972,3205683,3216862,3224769,3226892,3245204,3253903,3257051,3263743,3265747,3267127,3326346,3351248,3432588,3443782,3470800,3474319,3566013,3611564,3855632,3889621,4277587,4495080,	2799994,2806821,2807753,2808636,2811746,2813111,2815218,2818663,2819988,2820744,2823297,2824092,2830639,2831973,2836134,2855533,2857480,2875999,2886841,2909984,2944619,2949038,2954371,2964050,2965240,2966125,2967680,2975921,2999987,3008919,3015419,3019681,3038632,3045391,3046409,3047434,3057236,3059134,3063026,3072019,3076777,3081251,3087562,3141666,3165217,3165834,3200816,3205514,3216674,3224554,3226776,3245016,3253716,3256913,3263549,3265421,3266945,3326234,3351145,3432467,3443658,3470798,3474232,3565936,3611452,3855425,3889427,4277475,4494864,4851854,
MCPH1	chr8	+	6264113	6506025	6264210,6266891,6272404,6289107,6293683,6296617,6299677,6303068,6312773,6335152,6338397,6357450,6479212,	6266800,6272286,6289020,6293569,6296474,6299588,6301914,6312664,6335115,6338235,6357373,6478975,6500515,
DEFB106B	chr8	-	7340026	7343922	7340274,	7343856,
TNKS	chr8	+	9413424	9639856	9414122,9437893,9473187,9537497,9538310,9562267,9563763,9564507,9566002,9567556,9567730,9578055,9584230,9588545,9590954,9592594,9592996,9605722,9609356,9610136,9619146,9620754,9622300,9623307,9623935,9627772,	9437669,9473092,9537461,9538235,9562173,9563697,9564321,9565881,9567465,9567652,9577884,9584151,9588400,9590789,9592375,9592887,9605534,9609119,9610054,9619026,9620657,9622226,9623202,9623749,9627616,9634160,
RP1L1	chr8	-	10463859	10512612	10470856,10474097,10480730,	10473956,10480103,10512408,
LONRF1	chr8	-	12579403	12612999	12580763,12583388,12586572,12586841,12589366,12592909,12594306,12594649,12595653,12598505,12600791,	12583236,12586410,12586683,12589245,12592795,12594210,12594409,12595504,12598383,12600673,12612209,
SGCZ	chr8	-	13947373	15095848	13948146,13960008,13965744,14022211,14095188,14181713,14412435,	13959885,13965672,14022089,14095101,14181612,14412241,15095094,
PCM1	chr8	+	17780349	17885477	17780697,17782289,17793215,17794888,17796518,17797370,17804872,17808233,17810695,17813162,17814286,17814930,17815284,17817674,17817953,17819683,17820800,17822277,17823727,17823982,17824679,17827257,17830196,17838264,17843128,17843596,17847488,17849209,17851128,17863906,17867253,17868177,17868875,17869336,17871545,17872349,17882962,17883167,	17782222,17793098,17794643,17796249,17797200,17804695,17808124,17810479,17812979,17814113,17814773,17815049,17817523,17817824,17819543,17820610,17822077,17823508,17823837,17824489,17827086,17829838,17838100,17842956,17843468,17847368,17849051,17850992,17863772,17867056,17868118,17868746,17869176,17871473,17872093,17882870,17883053,17885146,
SFTPC	chr8	+	22019310	22021992	22019383,22020245,22020715,22021059,	22020087,22020593,22020949,22021414,
TNFRSF10A	chr8	-	23047965	23082639	23049526,23054717,23056961,23057430,23058113,23058273,23059432,23060274,23069725,	23054645,23056779,23057399,23058018,23058200,23059321,23060161,23069629,23082269,
PPP2R2A	chr8	+	26149007	26230196	26149342,26151256,26196503,26212149,26217797,26218667,26220364,26221406,26223922,	26151182,26196406,26211984,26217685,26218490,26220200,26221237,26223831,26227650,
PTK2B	chr8	+	27168999	27316907	27169226,27169904,27170804,27180016,27180943,27183198,27255305,27277590,27278261,27279900,27287672,27287935,27288533,27288989,27289878,27291069,27291649,27292076,27293310,27293865,27294723,27295013,27295397,27296648,27296915,27297958,27300500,27301788,27303436,27308412,27308595,27309026,27310677,27311808,27312128,	27169821,27170722,27179919,27180784,27183081,27255065,27277412,27278174,27279821,27287610,27287881,27288393,27288915,27289777,27290952,27291610,27292030,27293260,27293768,27294639,27294913,27295282,27296548,27296826,27297754,27300392,27301723,27303311,27308266,27308560,27309002,27310631,27311671,27312048,27315811,
FBXO16	chr8	-	28285929	28347835	28286253,28286920,28304790,28309993,28314447,28321335,28331324,28340979,	28286895,28304688,28309761,28314283,28321129,28331289,28340865,28347703,
RBPMS	chr8	+	30241995	30429778	30242674,30332372,30335353,30336893,30361953,30402141,30416473,30423877,	30332295,30335315,30336831,30361803,30402011,30416404,30423774,30428154,
KCNU1	chr8	+	36641892	36793646	36642123,36644943,36661606,36662803,36663898,36664968,36666311,36671895,36673205,36675278,36691177,36692386,36693883,36694463,36698093,36698521,36703187,36703417,36722039,36763322,36767053,36768637,36776415,36780147,36788663,36790550,	36644824,36661545,36662713,36663787,36664893,36666236,36671725,36673114,36675168,36691072,36692304,36693814,36694311,36697981,36698450,36703098,36703320,36721922,36763226,36766829,36768448,36776341,36780008,36788469,36790438,36793033,
RAB11FIP1	chr8	-	37716136	37756985	37720631,37728046,37732840,37735069,	37727938,37732033,37734627,37756589,
PLEKHA2	chr8	+	38758809	38831428	38758963,38775588,38793568,38801355,38803739,38808508,38809830,38810222,38810885,38814904,38826187,38827185,	38775425,38793512,38801307,38803642,38808368,38809684,38810154,38810815,38814841,38826110,38826939,38827187,
IDO2	chr8	+	39806685	39873124	39806783,39821222,39836705,39840289,39843041,39845489,39847357,39862897,39871232,	39821127,39836586,39840171,39843027,39845390,39847240,39862846,39871084,39872766,
SPIDR	chr8	+	48173167	48648868	48173583,48192605,48196683,48203726,48206619,48309186,48320523,48353104,48508568,48511758,48586503,48613052,48614426,48614577,48625434,48626203,48639855,48641609,48642027,	48192450,48196617,48203622,48206456,48308936,48320423,48352885,48508373,48511508,48586363,48612965,48614283,48614518,48625224,48626051,48639762,48641495,48641974,48647869,
SNTG1	chr8	+	50822349	51705389	50822464,50823604,51085195,51306825,51314904,51351159,51362285,51363159,51363289,51415440,51442819,51449368,51465739,51503477,51569585,51571223,51617312,51621538,51664671,	50823452,51085121,51306772,51314770,51351103,51362228,51363116,51363248,51415338,51442737,51449238,51465610,51503439,51569469,51571152,51617160,51621446,51664561,51705231,
PXDNL	chr8	-	52232139	52722005	52232582,52233457,52252313,52258507,52284641,52287291,52322121,52323967,52325818,52336291,52339318,52359722,52361678,52366345,52370227,52384864,52387701,52396274,52412330,52469471,52505258,52567320,	52233344,52252184,52258393,52284433,52287157,52320627,52323810,52325710,52336135,52339206,52359564,52361562,52366079,52370058,52384747,52387532,52396203,52412259,52469400,52505187,52567249,52721741,
FAM150A	chr8	-	53446597	53478067	53447160,53451067,53452471,53455005,	53450991,53452391,53454952,53477627,
TOX	chr8	-	59717977	60031767	59720342,59720828,59728283,59739461,59750870,59764364,59852103,59872567,	59720677,59727897,59739381,59750640,59764083,59851861,59872502,60031445,
ARFGEF1	chr8	-	68109884	68255912	68111333,68112748,68113840,68115486,68117054,68123850,68128897,68130155,68130373,68131795,68137268,68138418,68139544,68139833,68140367,68140499,68145180,68150728,68151128,68152525,68163685,68165857,68170051,68170525,68172161,68178442,68179219,68179465,68179677,68184171,68188344,68189692,68200300,68204358,68208845,68211590,68213615,68214701,	68112631,68113702,68115318,68116915,68123718,68128825,68130017,68130238,68131666,68137138,68138258,68139372,68139682,68140198,68140459,68145090,68150578,68150970,68152397,68163534,68165686,68169967,68170320,68172050,68178241,68179111,68179326,68179578,68183937,68188211,68189517,68200190,68204082,68208666,68211444,68213459,68214671,68255399,
NCOA2	chr8	-	71021997	71316040	71025878,71033626,71036317,71037100,71039282,71040745,71041215,71044237,71050567,71053634,71057083,71060718,71069475,71071887,71075089,71075801,71078989,71082614,71087094,71126310,71128999,71209035,	71033537,71036119,71036923,71039048,71040668,71040937,71044072,71050438,71053419,71056877,71060508,71068206,71071740,71074946,71075700,71078801,71082437,71086991,71126138,71128895,71208979,71315935,
STAU2	chr8	-	74332606	74659172	74333700,74334937,74464554,74495065,74507532,74516098,74526191,74528017,74529686,74585477,74601048,74621397,74650584,74652103,	74334849,74464247,74495005,74507401,74515961,74525979,74527910,74529527,74585342,74600889,74621267,74650519,74651991,74659018,
ZFHX4	chr8	+	77593454	77779521	77593855,77618913,77620283,77690675,77745642,77755007,77761364,77761948,77762598,77768536,	77616278,77619781,77690444,77745574,77754891,77761231,77761748,77762481,77763122,77775330,
IL7	chr8	-	79645009	79717758	79646067,79650870,79652317,79710443,	79650739,79652237,79710307,79717148,
CNBD1	chr8	+	87878673	88395087	87878811,87899839,87917422,87951982,88218366,88249340,88297043,88298899,88364022,88366014,	87899770,87917309,87951824,88218221,88249147,88296906,88298767,88363913,88365864,88394848,
MMP16	chr8	-	89044237	89339717	89054023,89059012,89068506,89086971,89128947,89131090,89180202,89198827,89209535,	89058897,89068356,89086833,89128736,89130929,89179898,89198705,89209387,89339304,
RAD54B	chr8	-	95384188	95487337	95384615,95390608,95390862,95392634,95399387,95404127,95406110,95411849,95412691,95416467,95419948,95423543,95470664,95479783,	95390408,95390796,95392373,95399212,95403837,95405971,95411642,95412466,95416305,95419667,95423349,95470496,95479633,95487229,
SDC2	chr8	+	97505579	97624008	97506559,97605819,97614756,97620698,	97605708,97614623,97620563,97621613,
STK3	chr8	-	99466861	99837909	99468228,99539145,99560389,99592017,99608397,99718862,99719539,99761618,99779599,99787047,	99538970,99560197,99591892,99608260,99718695,99719375,99761504,99779471,99786967,99837743,
NCALD	chr8	-	102698771	103136562	102701634,102705124,102731876,102899455,102928086,103032517,	102705019,102731480,102899369,102928037,103032465,103136465,
RIMS2	chr8	+	104512976	105264087	104513290,104709524,104778765,104898451,104922429,104924400,104927822,104928765,104930715,104934012,104940117,104943621,104948950,104955154,104973361,104987734,105001649,105025849,105026843,105257285,105261041,105261816,105263391,	104709314,104778455,104897526,104922362,104924281,104927723,104928642,104930669,104933900,104940070,104943491,104948779,104955001,104973293,104987578,105001533,105025670,105026734,105257144,105260929,105261715,105263252,105263830,
TRHR	chr8	+	110098850	110131796	110099112,110100530,	110099654,110131277,
